,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
99,Huntingdale,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Huntingdale_railway_station_-_Melbourne.jpg/100px-Huntingdale_railway_station_-_Melbourne.jpg,['bus'],18.28,11.36,1/2[132] y,25 June 1927,Oakleigh[132],Formerly Eastoakleigh,
100,Hurstbridge,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Northbound_view_in_November_2015.JPG/100px-Northbound_view_in_November_2015.JPG,['bus'],Hurstbridge,38.02,23.62,2,25 June 1912,Hurstbridge,
101,Ivanhoe,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ivanhoe_Railway_Station.jpg/100px-Ivanhoe_Railway_Station.jpg,['bus'],12.14,7.54,1/2,8 May 1888,Ivanhoe[134],,
102,Jacana,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Jacana_Railway_Station_December_2018.jpg/100px-Jacana_Railway_Station_December_2018.jpg,[],Craigieburn,15.43,9.59,2,15 February 1959,Glenroy,
103,Jewell,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Jewell_Northbound_View.jpg/100px-Jewell_Northbound_View.jpg,"['tram', 'bus']",Upfield,6.50,4.04,1,9 September 1884,Brunswick,Formerly South Brunswick
104,Jolimont,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Jolimont_railway_station_August_2016.jpg/100px-Jolimont_railway_station_August_2016.jpg,['tram'],HurstbridgeMernda,2.91,1.81,1,21 October 1901,East Melbourne,
105,Jordanville,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Jordanville_Westbound_View.jpg/100px-Jordanville_Westbound_View.jpg,['bus'],Glen Waverley,17.64,10.96,2,5 May 1930,Mount Waverley,
106,Kananook,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Kananook_railway_station%2C_Melbourne%2C_2014.jpg/100px-Kananook_railway_station%2C_Melbourne%2C_2014.jpg,['bus'],Frankston,41.44,25.75,2,25 August 1975,Seaford,
107,Keilor Plains,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Keilor_Plains_station.jpg/100px-Keilor_Plains_station.jpg,['bus'],Sunbury,19.62,12.19,2,27 January 2002,St Albans,
108,Kensington,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Kensington_Southbound_View.JPG/100px-Kensington_Southbound_View.JPG,['bus'],Craigieburn,3.58,2.22,1,1 November 1860,Kensington,
109,Keon Park,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Keon_Park_Railway_Station.jpg/100px-Keon_Park_Railway_Station.jpg,['bus'],Mernda,17.54,10.90,2,16 December 1929,Thomastown,
110,Kooyong,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kooyong_railway_station_-_Melbourne.jpg/100px-Kooyong_railway_station_-_Melbourne.jpg,['tram'],Glen Waverley,8.28,5.14,1,24 March 1890,Kooyong,
111,Laburnum,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/New_Laburnum_station.jpg/100px-New_Laburnum_station.jpg,['bus'],BelgraveLilydale,17.82,11.07,2,13 July 1958,Blackburn,
112,Lalor,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Lalor_Northwest_Bound_View.jpg/100px-Lalor_Northwest_Bound_View.jpg,['bus'],Mernda,20.81,12.93,2,1 October 1949,Lalor,
113,Laverton,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Laverton_Southbound_View.jpg/100px-Laverton_Southbound_View.jpg,['bus'],Werribee,21.01,13.06,"['1', '2\n']",1 July 1886,Laverton,
114,Leawarra,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Leawarra_railway_station%2C_Melbourne_2010.jpg/100px-Leawarra_railway_station%2C_Melbourne_2010.jpg,['bus'],Stony Point,45.77,28.44,2,30 November 1959,Frankston,Formerly Railmotor Stopping Place No. 16
115,Lilydale,//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Lilydale_Southbound_View_Platform_1.jpeg/100px-Lilydale_Southbound_View_Platform_1.jpeg,"['bus', 'coach_image']",Lilydale,38.86,24.15,2,1 December 1882,Lilydale,Rebuilt in 2021
116,Lynbrook,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Lynbrook_station.jpg/100px-Lynbrook_station.jpg,['bus'],Cranbourne,39.59,24.60,2,22 April 2012[46],Lynbrook,
117,Macaulay,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Macaulay_Southbound_View.jpg/100px-Macaulay_Southbound_View.jpg,['bus'],Upfield,3.25,2.02,1,1 December 1887,North Melbourne,
118,Macleod,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Macleod_Railway_Station.jpg/100px-Macleod_Railway_Station.jpg,['bus'],Hurstbridge,17.71,11.00,2,1 March 1911,Macleod,
119,Malvern,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Malvern_Railway_Station.jpg/100px-Malvern_Railway_Station.jpg,['tram'],CranbourneFrankstonPakenham,10.11,6.28,1,7 May 1879,Malvern,
120,McKinnon,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Mckinnon_Station_August_2016.jpg/100px-Mckinnon_Station_August_2016.jpg,['bus'],Frankston,15.84,9.84,"['1', '2\n']",1 September 1884,McKinnon,Formerly McKinnon Road. Rebuilt in 2016
121,Melbourne Central,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Melbourne_Central_Station_Platform_2017.jpg/100px-Melbourne_Central_Station_Platform_2017.jpg,"['tram', 'bus']","show
11 Services
AlameinBelgraveCraigieburnCranbourneGlen WaverleyHurstbridgeLilydaleMerndaPakenhamSunburyUpfield",1.85,1.15,1,26 January 1981,Melbourne,Formerly Museum
122,Mentone,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/March_2021_Mentone_Station.jpg/100px-March_2021_Mentone_Station.jpg,['bus'],Frankston,24.48,15.21,2,19 December 1881,Mentone,"Formerly
Balcombe
Balcombe RoadRebuilt in 2020"
123,Merinda Park,//upload.wikimedia.org/wikipedia/commons/thumb/3/35/MerindaParkStationEntranceP1.jpg/100px-MerindaParkStationEntranceP1.jpg,['bus'],Cranbourne,42.35,26.32,2,24 March 1995,Cranbourne North,Rebuilt in 2022
124,Merlynston,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/MerlynstonNov2006.jpg/100px-MerlynstonNov2006.jpg,['bus'],Upfield,12.49,7.76,"['1', '2\n']",8 October 1889,Coburg North,Formerly North Coburg
125,Mernda,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mernda_Station_December_2021_1.jpg/100px-Mernda_Station_December_2021_1.jpg,['bus'],Mernda,33.07,20.55,2,23 December 1889,Mernda,Rebuilt 26 August 2018
126,Merri,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Merri_Northbound_View.jpg/100px-Merri_Northbound_View.jpg,"['tram', 'bus']",8.04,5.00,1[163],8 October 1889,Northcote[163],Formerly Northcote,
127,Middle Brighton,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/MiddleBrightonstation2021.jpg/100px-MiddleBrightonstation2021.jpg,['bus'],Sandringham,14.52,9.02,"['1', '2\n']",21 December 1861,Brighton,Formerly Church Street
128,Middle Footscray,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Middle-footscray-telephoto.jpg/100px-Middle-footscray-telephoto.jpg,['bus'],Sunbury,6.61,4.11,1,10 December 1906,Footscray,
129,Middle Gorge,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Middle_Gorge_Northbound_View.jpg/100px-Middle_Gorge_Northbound_View.jpg,['bus'],Mernda,28.34,17.61,2,26 August 2018[121],South Morang,
130,Mitcham,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/New_Mitcham_Station.jpg/100px-New_Mitcham_Station.jpg,['bus'],BelgraveLilydale,22.47,13.96,2,25 December 1882,Mitcham,Rebuilt in 2014
131,Montmorency,//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Montmorency_Railway_Station%2C_September_2014.JPG/100px-Montmorency_Railway_Station%2C_September_2014.JPG,[],Hurstbridge,24.69,15.34,2,5 September 1923,Montmorency,
132,Moonee Ponds,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/July15_Moonee_Ponds_Station.jpg/100px-July15_Moonee_Ponds_Station.jpg,['bus'],Craigieburn,6.89,4.28,1,1 November 1860,Moonee Ponds,
133,Moorabbin,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Moorabbin_train_station_2021.jpg/100px-Moorabbin_train_station_2021.jpg,['bus'],Frankston,18.45,11.46,2,19 December 1881,Moorabbin,Formerly South Brighton
134,Mooroolbark,//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Mooroolbark_Westbound_View.JPG/100px-Mooroolbark_Westbound_View.JPG,['bus'],Lilydale,34.48,21.42,2,10 October 1887,Mooroolbark,Rebuilt in 2021
135,Mordialloc,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Mordiallocstationvictoria2021.jpg/100px-Mordiallocstationvictoria2021.jpg,['bus'],Frankston,27.69,17.21,2,19 December 1881,Mordialloc,
136,Moreland,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Moreland_Southbound_View.JPG/100px-Moreland_Southbound_View.JPG,"['tram', 'bus']",Upfield,8.78,5.46,1,9 September 1884,Coburg,
137,Morradoo,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Morradoo_railway_station%2C_Melbourne.jpg/100px-Morradoo_railway_station%2C_Melbourne.jpg,['bus'],Stony Point,70.96,44.09,2,7 November 1960,Crib Point,Formerly Railmotor Stopping Place No. 15
138,Mount Waverley,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Mount_Waverley_Westbound_View.jpg/100px-Mount_Waverley_Westbound_View.jpg,['bus'],Glen Waverley,19.00,11.81,2,5 May 1930,Mount Waverley,
139,Murrumbeena,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/New_Murrumbeena_railway_station_on_the_18-06-2018_%282%29.jpg/100px-New_Murrumbeena_railway_station_on_the_18-06-2018_%282%29.jpg,['bus'],CranbournePakenham,14.43,8.97,1,14 May 1879,Murrumbeena,Rebuilt in 2018
140,Narre Warren,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Narre_Warren_station_May17.jpg/100px-Narre_Warren_station_May17.jpg,['bus'],Pakenham,40.80,25.35,2,10 March 1882,Narre Warren,Being rebuilt as part of the Level Crossing Removal Project
141,Newmarket,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Newmarket_Northbound_View.JPG/100px-Newmarket_Northbound_View.JPG,['tram'],Craigieburn,4.30,2.67,1,1 November 1860,Flemington,
142,Newport,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Railway_Station_Newport.jpg/100px-Railway_Station_Newport.jpg,['bus'],WerribeeWilliamstown,10.56,6.56,1,1 March 1859,Newport,"Formerly:
Williamstown Junction
Geelong Junction"
143,Noble Park,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/New_Noble_Park_railway_station_February_2018.jpg/100px-New_Noble_Park_railway_station_February_2018.jpg,['bus'],CranbournePakenham,27.23,16.92,2,3 February 1913,Noble Park,Rebuilt in 2018
144,North Brighton,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/North_Brighton_Station_towards_Sandringham.JPG/100px-North_Brighton_Station_towards_Sandringham.JPG,['bus'],Sandringham,13.24,8.23,"['1', '2\n']",19 December 1859,Brighton,Formerly Bay Street
145,North Melbourne,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/North_Melbourne_station_main_entry_2009.jpg/100px-North_Melbourne_station_main_entry_2009.jpg,['bus'],"show
6 Services
CraigieburnFlemington RacecourseSeymourSunburyUpfieldWerribeeWilliamstown",1.72,1.07,1,6 October 1859,West Melbourne,Upgraded in 2009
146,North Richmond,//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/North_Richmond_Station..jpg/100px-North_Richmond_Station..jpg,"['tram', 'bus']",HurstbridgeMernda,4.16,2.58,1,21 October 1901,Richmond,
147,North Williamstown,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/North_Williamstown_Northbound_View.JPG/100px-North_Williamstown_Northbound_View.JPG,['bus'],Williamstown,12.27,7.62,1,1 February 1859,Williamstown,Rebuilt in 2021
148,Northcote,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Northcote_Northbound_View.jpg/100px-Northcote_Northbound_View.jpg,"['tram', 'bus']",Mernda,8.97,5.57,1,8 October 1889,Northcote,Formerly Middle Northcote
149,Nunawading,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Nunawading_Railway_Station..jpg/100px-Nunawading_Railway_Station..jpg,['bus'],BelgraveLilydale,20.77,12.91,2,4 June 1888,Nunawading,Formerly Tunstall. Rebuilt in 2010
150,Oak Park,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Oak_Park_Southbound_View.jpg/100px-Oak_Park_Southbound_View.jpg,[],Craigieburn,12.88,8.00,"['1', '2\n']",13 August 1956,Oak Park,
151,Oakleigh,//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Oakleigh_railway_station_-_Melbourne.jpg/100px-Oakleigh_railway_station_-_Melbourne.jpg,['bus'],CranbournePakenham,16.59,10.31,"['1', '2\n']",8 October 1877,Oakleigh,Upgraded in 2018–2019
152,Officer,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Officer_railway_station%2C_Melbourne.jpg/100px-Officer_railway_station%2C_Melbourne.jpg,[],Pakenham,51.45,31.97,2,4 August 1881,Officer,Formerly Officer's Siding
153,Ormond,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/New_Ormond_Railway_Station.jpg/100px-New_Ormond_Railway_Station.jpg,['bus'],Frankston,15.02,9.33,"['1', '2\n']",19 December 1881,Ormond,Formerly North Road. Rebuilt in 2016
154,Pakenham,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Pakenham_station_July18.JPG/100px-Pakenham_station_July18.JPG,['bus'],PakenhamTraralgon,58.19,36.16,2,8 October 1877,Pakenham,
155,Parkdale,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Parkdale_station_2018.JPG/100px-Parkdale_station_2018.JPG,['bus'],Frankston,25.93,16.11,2,1 September 1919,Parkdale,Currently being rebuilt as part of the Level Crossing Removal Project
156,Parliament,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Parliament_Station_%28Victoria%2C_2020%29.jpg/100px-Parliament_Station_%28Victoria%2C_2020%29.jpg,['tram'],"show
11 Services
AlameinBelgraveCraigieburnCranbourneGlen WaverleyHurstbridgeLilydaleMerndaPakenhamSunburyUpfield",3.08,1.91,1,22 January 1983,East Melbourne,
157,Pascoe Vale,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Pascoe_Vale_Northbound_View_Jan2015.JPG/100px-Pascoe_Vale_Northbound_View_Jan2015.JPG,['bus'],Craigieburn,11.27,7.00,"['1', '2\n']",10 November 1885,Pascoe Vale,
158,Patterson,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Patterson_Railway_station.jpg/100px-Patterson_Railway_station.jpg,[],Frankston,17.39,10.81,2,28 May 1961,Bentleigh,
159,Prahran,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Comeng_running_a_down_Sandringham_service_at_Prahran_Station_%28cropped%29.jpg/100px-Comeng_running_a_down_Sandringham_service_at_Prahran_Station_%28cropped%29.jpg,['tram'],Sandringham,6.72,4.18,1,22 December 1860,Prahran,Formerly Greville Street
160,Preston,//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Preston_Station_Entrance.jpg/100px-Preston_Station_Entrance.jpg,['bus'],Mernda,12.47,7.75,"['1', '2\n']",8 October 1889,Preston,Formerly Preston – Murray Road. Rebuilt in 2022
161,Regent,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Regent_Railway_Station.jpg/100px-Regent_Railway_Station.jpg,['bus'],13.61,8.46,1/2[207],8 October 1889,Reservoir[207],Formerly Preston – Regent Street,
162,Reservoir,//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Reservoir_Station_in_February_2020.jpg/100px-Reservoir_Station_in_February_2020.jpg,['bus'],14.94,9.28,1/2[208],8 October 1889,Reservoir[208],Formerly Preston – Reservoir. Rebuilt in 2019,
163,Richmond,//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Richmond-station-platforms.jpg/100px-Richmond-station-platforms.jpg,"['tram', 'bus']","show
9 Services
AlameinBelgraveCranbourneFrankstonGlen WaverleyLilydalePakenhamSandringhamTraralgon",3.80,2.36,1,8 February 1859,Richmond,"Formerly:
Swan Street
Punt Road"
164,Ringwood,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ringwood_Railway_Station_from_Platform_2_looking_north-east.jpg/100px-Ringwood_Railway_Station_from_Platform_2_looking_north-east.jpg,"['bus', 'coach_image']",BelgraveLilydale,25.76,16.01,2,1 December 1882,Ringwood,Upgraded in 2016
165,Ringwood East,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Entrance_to_Ringwood_East.jpg/100px-Entrance_to_Ringwood_East.jpg,['bus'],Lilydale,27.76,17.25,2,18 May 1925,Ringwood East,
166,Ripponlea,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Ripponleastation3.jpg/100px-Ripponleastation3.jpg,"['tram', 'bus']",Sandringham,9.83,6.11,1,1 May 1912,Ripponlea,
167,Riversdale,//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Riversdaleplatform1.JPG/100px-Riversdaleplatform1.JPG,"['tram', 'bus']",Alamein,11.73,7.29,1,30 May 1890,Camberwell,
168,Rosanna,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Rosanna_Station_platforms_in_March_2020.jpg/100px-Rosanna_Station_platforms_in_March_2020.jpg,['bus'],Hurstbridge,15.78,9.81,2,1 October 1927,Rosanna,Rebuilt in 2018
169,Roxburgh Park,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Roxburgh_Park_Southbound_View.jpg/100px-Roxburgh_Park_Southbound_View.jpg,['bus'],Craigieburn,22.08,13.72,2,18 April 1872,Roxburgh Park,Formerly Somerton
170,Royal Park,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Royal_Park_Station_Oct_2019_01.jpg/100px-Royal_Park_Station_Oct_2019_01.jpg,"['tram', 'bus']",Upfield,5.46,3.39,1,9 September 1884,Parkville,
171,Rushall,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Rushall_Station_Northwest_View.jpg/100px-Rushall_Station_Northwest_View.jpg,['bus'],Mernda,7.32,4.55,1,1 January 1927,Fitzroy North,
172,Ruthven,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ruthven_Railway_Station.jpg/100px-Ruthven_Railway_Station.jpg,['bus'],15.95,9.91,2[221],5 August 1963,Reservoir[221],,
173,Sandown Park,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Sandown_Park_Railway_Station.jpg/100px-Sandown_Park_Railway_Station.jpg,[],CranbournePakenham,25.68,15.96,2,c. December 1888,Springvale,Formerly Oakleigh Park Racecourse
174,Sandringham,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Sandringhamstation2021.jpg/100px-Sandringhamstation2021.jpg,['bus'],Sandringham,19.16,11.91,2,2 September 1887,Sandringham,
175,Seaford,//upload.wikimedia.org/wikipedia/commons/thumb/3/30/Seaford_railway_station%2C_Melbourne_2010.jpg/100px-Seaford_railway_station%2C_Melbourne_2010.jpg,['bus'],Frankston,39.35,24.45,,1 December 1913,Seaford,
176,Seaholme,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Seaholme_railway_station%2C_Melbourne.jpg/100px-Seaholme_railway_station%2C_Melbourne.jpg,['bus'],Werribee,16.13,10.02,1,26 January 1920,Seaholme,
177,Seddon,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Seddon_Northeast_View.jpg/100px-Seddon_Northeast_View.jpg,[],WerribeeWilliamstown,6.62,4.11,1,10 December 1906,Seddon,
178,Showgrounds,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Showgrounds-railway-station-melbourne.jpg/100px-Showgrounds-railway-station-melbourne.jpg,['tram'],Flemington Racecourse,5.73,3.56,1,7 November 1883,Flemington,
179,Somerville,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Somerville_Station_%282%29.jpg/100px-Somerville_Station_%282%29.jpg,['bus'],Stony Point,55.82,34.68,2,10 September 1889,Somerville,
180,South Kensington,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/South_Kensington_railway_station%2C_Melbourne.jpg/100px-South_Kensington_railway_station%2C_Melbourne.jpg,[],WerribeeWilliamstown,3.49,2.17,1,11 March 1891,Kensington,
181,South Morang,//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/South_Morang_railway_station_main_entrance.jpg/100px-South_Morang_railway_station_main_entrance.jpg,['bus'],Mernda,25.97,16.14,2,22 April 2012,South Morang,
182,South Yarra,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/South_Yarra_platforms.jpg/100px-South_Yarra_platforms.jpg,['tram'],CranbourneFrankstonPakenhamSandringham,5.41,3.36,1,22 December 1860,South Yarra,Formerly Gardiner's Creek Road
183,Southern Cross,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Southern_Cross_Suburban.JPG/100px-Southern_Cross_Suburban.JPG,"['tram', 'bus', 'skybus', 'coach_image']","show
29 Services
AlameinAlburyAraratBallaratBelgraveBendigoCraigieburnCranbourneEchucaFlemington RacecourseFrankstonGeelongGlen WaverleyHurstbridgeLilydaleMaryboroughMernda NSW TrainLink Southern PakenhamSeymourSheppartonSunburySwan HillTraralgonThe OverlandUpfieldWarrnamboolWerribeeWilliamstown",0,1[231],17 January 1859,Docklands[231],"Formerly:
Spencer Street
Batman's Hill",
184,Southland,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Southland_Railway_Station.jpg/100px-Southland_Railway_Station.jpg,[],Frankston,21.44,13.32,2,26 November 2017[233],Cheltenham,
185,Spotswood,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Spotswood_Southbound_View.jpg/100px-Spotswood_Southbound_View.jpg,[],WerribeeWilliamstown,9.22,5.73,1,1 February 1878,Spotswood,"Formerly:
Spottiswoode
Bayswater
Edom"
186,Springvale,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Springvale_railway_station_-_Melbourne.jpg/100px-Springvale_railway_station_-_Melbourne.jpg,['bus'],CranbournePakenham,24.50,15.22,2,1 September 1880,Springvale,Formerly Spring Vale. Rebuilt in 2014
187,St Albans,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/St_Albans_Railway_Station.jpg/100px-St_Albans_Railway_Station.jpg,['bus'],Sunbury,17.81,11.07,2,1 February 1887,St Albans,Rebuilt 22 November 1959. Rebuilt in 2016
188,Stony Point,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/The_nick_green_sprinter%2C7006_waits_to_depart_October_2013.jpg/100px-The_nick_green_sprinter%2C7006_waits_to_depart_October_2013.jpg,[],Stony Point,74.59,46.35,2,17 December 1889,Crib Point,
189,Strathmore,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Strathmore_Northbound_View.jpg/100px-Strathmore_Northbound_View.jpg,['bus'],Craigieburn,9.79,6.08,1,28 October 1890,Essendon,Formerly North Essendon
190,Sunbury,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Sunbury_Station.JPG/100px-Sunbury_Station.JPG,['bus'],BendigoEchucaSunbury,38.28,23.79,2,10 February 1859,Sunbury,
191,Sunshine,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Sunshine_Station_platforms_1_%26_2.jpg/100px-Sunshine_Station_platforms_1_%26_2.jpg,['bus'],BallaratGeelongSunbury,12.25,7.61,"['1', '2\n']",7 September 1885,Sunshine,Formerly Braybrook Junction. Upgraded in 2014
192,Syndal,//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Syndal_railway_station_upgrade%2C_Melbourne.JPG/100px-Syndal_railway_station_upgrade%2C_Melbourne.JPG,['bus'],Glen Waverley,20.89,12.98,2,5 May 1930,Glen Waverley,
193,Tecoma,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/TecomaStation2.jpg/100px-TecomaStation2.jpg,['bus'],Belgrave,41.34,25.69,2,1 February 1924,Tecoma,Originally narrow gauge
194,Thomastown,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Thomastown_Station_Aug_22.JPG/100px-Thomastown_Station_Aug_22.JPG,['bus'],Mernda,19.14,11.89,2,23 December 1889,Thomastown,Upgraded in 2011
195,Thornbury,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Thornbury_Southbound_View.jpg/100px-Thornbury_Southbound_View.jpg,['tram'],10.62,6.60,1[248],8 October 1889,Thornbury[248],,
196,Toorak,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Toorak_Railway_Station.jpg/100px-Toorak_Railway_Station.jpg,"['tram', 'bus']",Frankston,7.91,4.92,1,7 May 1879,Armadale,
197,Tooronga,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Tooronga_railway_station_-_Melbourne.jpg/100px-Tooronga_railway_station_-_Melbourne.jpg,['bus'],Glen Waverley,9.59,5.96,1,24 March 1890,Malvern,
198,Tottenham,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Siemens_train_citybound_at_Tottenham_railway_station.jpg/100px-Siemens_train_citybound_at_Tottenham_railway_station.jpg,[],Sunbury,9.10,5.65,1,2 March 1891,West Footscray,
199,Tyabb,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Tyabb_Station_%283%29.jpg/100px-Tyabb_Station_%283%29.jpg,['bus'],Stony Point,59.84,37.18,2,10 September 1889,Tyabb,
200,Union,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Union_Station_concourse.jpg/100px-Union_Station_concourse.jpg,['bus'],BelgraveLilydale,14.14,8.79,"['1', '2\n']",22 May 2023[254],Mont Albert,"Merge between:
Surrey Hills
Mont Albert"
201,Upfield,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Upfield_Station_%283%29.jpg/100px-Upfield_Station_%283%29.jpg,['bus'],Upfield,18.86,11.72,2,8 October 1889,Coolaroo,Formerly North Campbellfield
202,Upper Ferntree Gully,//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Island_platform_at_Upper_Ferntree_Gully_Station%2C_Melbourne.jpg/100px-Island_platform_at_Upper_Ferntree_Gully_Station%2C_Melbourne.jpg,['bus'],Belgrave,37.66,23.40,2,4 December 1889,Upper Ferntree Gully,Also spelt Upper Fern Tree Gully
203,Upwey,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Upwey1.jpg/100px-Upwey1.jpg,['bus'],40.18,24.97,2[257],3 June 1901,Upwey[257],Originally narrow gauge,
204,Victoria Park,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Victoria_Park_Railway_Station.jpg/100px-Victoria_Park_Railway_Station.jpg,['bus'],HurstbridgeMernda,5.42,3.37,1,8 May 1888,Abbotsford,Formerly Collingwood
205,Watergardens,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Watergardens_station_platforms.jpg/100px-Watergardens_station_platforms.jpg,['bus'],BendigoEchucaSunburySwan Hill,23.28,14.47,2,1 March 1859,Sydenham,"Formerly:
Sydenham
Keilor Road.
Upgraded in 2002"
206,Watsonia,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Watsonia_Railway_Station.jpg/100px-Watsonia_Railway_Station.jpg,['bus'],Hurstbridge,19.92,12.38,2,23 June 1924,Greensborough,
