,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
26,Broadmeadows,//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Suburban_platforms_at_Broadmeadows_station%2C_Melbourne.jpg/100px-Suburban_platforms_at_Broadmeadows_station%2C_Melbourne.jpg,['bus'],"show
5 Services
AlburyCraigieburn NSW TrainLink Southern SeymourShepparton",16.85,10.47,2,1 February 1873,Broadmeadows,
27,Brunswick,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Brunswickrailwaystation.jpg/100px-Brunswickrailwaystation.jpg,"['tram', 'bus']",Upfield,7.31,4.54,1,9 September 1884,Brunswick,
28,Burnley,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Burnley_Railway_Station.jpg/100px-Burnley_Railway_Station.jpg,['tram'],AlameinBelgraveGlen WaverleyLilydale,5.33,3.31,1,1 May 1880,Burnley,Formerly Burnley Street
29,Burwood,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Burwood_Railway_Station_Platform_View.jpg/100px-Burwood_Railway_Station_Platform_View.jpg,['tram'],Alamein,14.17,8.80,1,30 May 1890,Glen Iris,Formerly Hartwell
30,Camberwell,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Camberwell_station_Melbourne_-_Burke_Road_end.jpg/100px-Camberwell_station_Melbourne_-_Burke_Road_end.jpg,"['tram', 'bus']",AlameinBelgraveLilydale,10.21,6.34,1,3 April 1882,Camberwell,
31,Canterbury,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Canberbury_Railway_Station.jpg/100px-Canberbury_Railway_Station.jpg,['bus'],BelgraveLilydale,12.19,7.57,"['1', '2\n']",1 December 1882,Canterbury,
32,Cardinia Road,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Cardinia_Road_2012-07-22_06.jpg/100px-Cardinia_Road_2012-07-22_06.jpg,['bus'],Pakenham,53.80,33.43,2,22 April 2012[46],Pakenham,
33,Carnegie,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/New_Carnegie_railway_station_on_the_18-06-2018_%282%29.jpg/100px-New_Carnegie_railway_station_on_the_18-06-2018_%282%29.jpg,['bus'],CranbournePakenham,13.54,8.41,1,14 May 1879,Carnegie,Formerly Rosstown. Rebuilt in 2018
34,Carrum,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Carrum_Station_Platforms_in_March_2020_%281%29.jpg/100px-Carrum_Station_Platforms_in_March_2020_%281%29.jpg,['bus'],Frankston,36.10,22.43,2,1 August 1882,Carrum,Rebuilt in 2020
35,Caulfield,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Caulfield_railway_station_-_Melbourne.jpg/100px-Caulfield_railway_station_-_Melbourne.jpg,"['tram', 'bus']",CranbourneFrankstonPakenhamTraralgon,11.79,7.33,1,7 May 1879,Caulfield East,
36,Chatham,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Chatham_Railway_Station.jpg/100px-Chatham_Railway_Station.jpg,[],BelgraveLilydale,12.95,8.05,"['1', '2\n']",1 April 1927,Surrey Hills,
37,Chelsea,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Chelseastationphoto.jpg/100px-Chelseastationphoto.jpg,['bus'],Frankston,33.37,20.74,2,4 February 1907,Chelsea,Rebuilt in 2021
38,Cheltenham,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Cheltenham_Station_Platforms_Melbourne_2020-11-07.jpg/100px-Cheltenham_Station_Platforms_Melbourne_2020-11-07.jpg,['bus'],Frankston,22.32,13.87,2,19 December 1881,Cheltenham,Rebuilt in 2020
39,Clayton,//upload.wikimedia.org/wikipedia/commons/thumb/1/17/New_Clayton_railway_station_April_2018.jpg/100px-New_Clayton_railway_station_April_2018.jpg,['bus'],CranbournePakenhamTraralgon,20.51,12.74,2,6 January 1880,Clayton,Formerly Clayton's Road. Rebuilt in 2018
40,Clifton Hill,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Clifton_Hill_Station_Platform_2%2C_looking_north.jpg/100px-Clifton_Hill_Station_Platform_2%2C_looking_north.jpg,['bus'],HurstbridgeMernda,6.60,4.10,1,8 May 1888,Clifton Hill,
41,Coburg,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Coburg_Northbound_View.JPG/100px-Coburg_Northbound_View.JPG,['bus'],Upfield,10.12,6.29,1,9 September 1884,Coburg,Rebuilt in 2020
42,Collingwood,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Collingwood_railway_station.jpg/100px-Collingwood_railway_station.jpg,['bus'],HurstbridgeMernda,4.83,3.00,1,21 October 1901,Abbotsford,
43,Coolaroo,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Coolaroo_station_from_bridge.jpg/100px-Coolaroo_station_from_bridge.jpg,['bus'],Craigieburn,19.31,12.00,2,6 June 2010[63],Coolaroo,
44,Craigieburn,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Craigieburn_Northbound_View.jpg/100px-Craigieburn_Northbound_View.jpg,['bus'],CraigieburnSeymour,26.10,16.22,2,18 April 1872,Craigieburn,Upgraded in 2007
45,Cranbourne,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Cranbourne_Railway_Station.jpg/100px-Cranbourne_Railway_Station.jpg,['bus'],Cranbourne,45.12,28.04,2,1 October 1888,Cranbourne,Upgraded in 2008
46,Crib Point,//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Crib_Point_Station_%283%29.jpg/100px-Crib_Point_Station_%283%29.jpg,['bus'],Stony Point,72.83,45.25,2,17 December 1889,Crib Point,
47,Croxton,//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Croxton_Railway_Station.jpg/100px-Croxton_Railway_Station.jpg,['tram'],Mernda,9.61,5.97,1,8 October 1889,Northcote,
48,Croydon,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/CroydonTrainStationMarch2009.jpg/100px-CroydonTrainStationMarch2009.jpg,['bus'],Lilydale,31.03,19.28,2,1 December 1882,Croydon,Formerly Warrandyte
49,Dandenong,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Dandenong_Station.jpg/100px-Dandenong_Station.jpg,"['bus', 'coach_image']",CranbournePakenhamTraralgon,31.19,19.38,2,8 October 1877,Dandenong,Upgraded in 1995
